model,trajectory,cycle,capacity_Ah,resistance_Ohm,expansion_um,expansion_SEI_um,expansion_plating_um,expansion_LAMn_um,eps_n,eps_p,nLi_mol,Cp_Ah,Cn_Ah,delta_SEI_m,delta_pl_m
P4,delta_SEI_minus,61.0,4.020513042379749,0.015926028475420823,181.83937448326202,20.997086205954382,137.86358878195654,22.97869949535108,0.5102035080823268,0.4163367984991681,0.1567906406231093,5.422381702123909,4.996031955800446,3.855435303419765e-08,1.1192934791691225e-07
P4,delta_SEI_minus,62.0,4.011816082495876,0.01601527239944133,186.07340272161886,21.10086776644871,141.8282957904356,23.144239164734547,0.509803508881207,0.4162064719063746,0.15646375449887032,5.420684325061369,4.99211507016671,3.874491428076736e-08,1.1352738282145147e-07
P4,delta_SEI_minus,63.0,4.0030343212103565,0.016105700666779087,190.4235274949944,21.204447147735003,145.9092867409681,23.3097936062913,0.5094034739855763,0.41607619482732655,0.1561337111676978,5.418987592867187,4.988197835003985,3.893510429065754e-08,1.1514912735816421e-07
P4,delta_SEI_minus,64.0,3.994170250719704,0.016197350040267226,194.8939830733903,21.307826323906788,150.11079128408971,23.475365465393796,0.5090033970033303,0.41594596507718196,0.15580060374999866,5.417291477085921,4.984280187719288,3.9124926688652044e-08,1.1679523933967786e-07
P4,delta_SEI_minus,65.0,3.985222201804014,0.01629025212453442,199.4890322759189,21.41100331062675,154.43707292032678,23.640956044965378,0.5086032747861705,0.4158157815028389,0.15546436991501625,5.41559596269954,4.980362097483748,3.931437783115761e-08,1.1846633823029061e-07
P4,delta_SEI_minus,66.0,3.976187717343318,0.016384440347073197,204.2131985446037,21.513977793925527,158.892656323877,23.80656442680118,0.5082031095527869,0.4156856447093955,0.1551249179290809,5.41390105758886,4.976443586023293,3.9503457141671154e-08,1.2016309245863955e-07
P4,delta_SEI_minus,67.0,3.967063956379222,0.016479949202055054,209.0712397468449,21.61674406062354,163.48230686952363,23.972188816697734,0.5078029056385751,0.41555555598721317,0.15478214173639177,5.4122067785595815,4.97252469579113,3.969215412978744e-08,1.2188620703917667e-07
P4,delta_SEI_minus,68.0,3.957848410309438,0.016576814666330365,214.06809199440855,21.719303915545712,168.21095906752728,24.137829011335548,0.507402663534823,0.4154255153514714,0.15443594767896682,5.410513125809402,4.968605431598068,3.988047210948332e-08,1.2363639327714482e-07
P4,delta_SEI_minus,69.0,3.948538486970937,0.01667507405461123,219.20891970268286,21.821660119170573,173.0837756194456,24.30348396406669,0.507002385770582,0.4152955234664113,0.15408623899032514,5.408820107989418,4.9646858182091655,4.006841614948417e-08,1.2541438821657025e-07
P4,delta_SEI_minus,70.0,3.939131473509128,0.016774766084570843,224.4991444015859,21.923811715035143,178.10617962451838,24.469153062032383,0.5066020738267238,0.4151655806411432,0.15373291439336226,5.407127729125488,4.960765870125466,4.025598449355528e-08,1.2722096278182871e-07
P4,delta_SEI_minus,71.0,3.929624259269225,0.016875930681272706,229.94444411820848,22.02575743316166,183.2838513604447,24.634835324602125,0.5062017300727798,0.41503568745720565,0.1533758577622571,5.405435996791589,4.956845610549974,4.0443174809793544e-08,1.2905691662524343e-07
P4,delta_SEI_minus,72.0,3.9200090550755817,0.0169786053986779,235.55074677312967,22.127493520185805,188.6227270437665,24.80052620917738,0.5058013654851871,0.41490584727228214,0.15301477831470894,5.403744954718277,4.952925146966526,4.0629980206360156e-08,1.3092307394394248e-07
P4,delta_SEI_minus,73.0,3.9102770595855088,0.017082829644837715,241.3242672788788,22.229018852437306,194.12901867442162,24.96622975201986,0.5054009703109875,0.4147760567041089,0.15264934739628414,5.402054558854862,4.949004383871878,4.081639861999836e-08,1.3282028672272064e-07
P4,delta_SEI_minus,74.0,3.900434370432521,0.01718865509142802,247.27155221898363,22.330333931039597,199.80927319331303,25.131945094631,0.5050005466246008,0.4146463161906161,0.1522797927552094,5.400364814904955,4.945083341579231,4.100243097085914e-08,1.3474945082002067e-07
P4,delta_SEI_minus,75.0,3.890479444161428,0.01729612956983772,253.39945787142364,22.43143716076023,205.67034947091446,25.297671239748965,0.504600096835745,0.4145166262579469,0.15190605679328373,5.3986757297210595,4.941162043685109,4.1188074329814415e-08,1.3671149320985368e-07
P4,delta_SEI_minus,76.0,3.8804088969470127,0.01740530147468036,259.7151808481426,22.532326017161218,211.71944827732327,25.46340655365811,0.5041996248920235,0.4143869879042145,0.1515280131997496,5.3969873163026305,4.937240528845365,4.137332406155087e-08,1.387073774680906e-07
P4,delta_SEI_minus,77.0,3.8702186691992946,0.017516231103483906,266.22694451904795,22.63300108131957,217.96479369973835,25.62914973799001,0.5037991339307286,0.41425740185491483,0.15114551043136143,5.395299584098544,4.9333188277810995,4.155818123302835e-08,1.4073831892921702e-07
P4,delta_SEI_minus,78.0,3.859909789463707,0.01762891503904285,272.93885870787267,22.73344097986031,224.41051845123212,25.794899276780214,0.5033986276149374,0.4141278690011948,0.1507585869133911,5.393612544715124,4.929396976362018,4.174260659896129e-08,1.4280413678731835e-07
P4,delta_SEI_minus,79.0,3.849474937436671,0.017743443405483676,279.86167376910294,22.833652402440087,231.06736812680535,25.960653239857482,0.502998110608589,0.41399839049018705,0.15036696936715174,5.391926213092654,4.925475020258504,4.1926612442739004e-08,1.449067088234746e-07
P4,delta_SEI_minus,80.0,3.8389046142385235,0.017859878255931393,287.0047078658169,22.933639721372725,237.94465739197898,26.126410752465183,0.5025975850253881,0.4138689666271132,0.1499703031870676,5.390240593206352,4.921552980168445,4.211020679270069e-08,1.4704733662629773e-07
P4,delta_SEI_minus,81.0,3.8281992575014367,0.017978281833225508,294.3771670485157,23.033402345797732,245.05159123895237,26.29217346376556,0.5021970468804071,0.4137395957236775,0.14956860470102176,5.388555663067806,4.917630817070501,4.2293388563922314e-08,1.4922718524478633e-07
P4,delta_SEI_minus,82.0,3.8173549347425033,0.0180987162471159,301.9887765190588,23.132937939637877,252.39789879974447,26.45793977967644,0.5017965000254817,0.4136102785944591,0.14916172712196418,5.386871433286117,4.913708568682746,4.247615346695411e-08,1.5144748002583783e-07
P4,delta_SEI_minus,83.0,3.806356810640188,0.01822123739746459,309.84962355183984,23.232244100467256,259.9936707473028,26.62370870406977,0.5013959468675904,0.41348101555083694,0.14874911666081728,5.385187907916695,4.909786258574877,4.2658497090518454e-08,1.5370945109617984e-07
P4,delta_SEI_minus,84.0,3.795209224627972,0.018345917739644477,317.97046423751084,23.331318132567368,267.8496694157678,26.789476689175697,0.5009953959793315,0.41335180885608097,0.1483309353590224,5.383505116436426,4.905863970691779,4.284041448480081e-08,1.5601442010242333e-07
P4,delta_SEI_minus,85.0,3.783908980697432,0.018472827573150427,326.3625786660979,23.430161776044688,275.97717475145885,26.95524213859432,0.5005948512181412,0.41322265921030565,0.14790706392244332,5.381823067963621,4.9019417428063665,4.302190884494352e-08,1.5836374593897308e-07
P4,delta_SEI_minus,86.0,3.7724508427298327,0.018602036315426746,335.0376707151279,23.528774344840873,284.38789329890886,27.121003071378123,0.500194317370651,0.4130935675655642,0.14747730690608649,5.380141774897848,4.898019621790457,4.320297891122247e-08,1.6075879265991305e-07
P4,delta_SEI_minus,87.0,3.760829607185915,0.018733561810686722,344.00405106999847,23.62713499623064,293.09016313131394,27.28675294245386,0.4997938102519468,0.4129645383561435,0.1470414701385253,5.378461294991377,4.894097762509064,4.338358641271853e-08,1.6319986875202672e-07
P4,delta_SEI_minus,88.0,3.7490414859862424,0.01886752153547718,353.27759564613433,23.72525435712118,302.09984519297666,27.452496096036516,0.49939331936495235,0.4128355675305555,0.14659941214578862,5.376781575477519,4.890176062172366,4.3563750862307306e-08,1.6568928933595882e-07
P4,delta_SEI_minus,89.0,3.737081437438399,0.019003993769676413,362.87189841433303,23.823129212108245,311.4305379796172,27.618231222607555,0.49899284787390236,0.41270665539674506,0.1461509447293411,5.375102620366956,4.886254551765288,4.374346635593956e-08,1.6822858105407652e-07
P4,delta_SEI_minus,90.0,3.7249430690759935,0.019143068923449535,372.80205714238497,23.920756585644035,321.0973457471764,27.78395480956455,0.498592404266419,0.4125778038812823,0.14569582930042616,5.37342445475139,4.882333314400608,4.392272742998482e-08,1.7081953749274551e-07
P4,delta_SEI_minus,91.0,3.71261572387707,0.01928488797699501,383.0879247364248,24.018142115602046,331.1201189591068,27.949663661716006,0.4981919962631534,0.4124490145684376,0.14523366810227872,5.3717470992644,4.8784124256807475,4.4101544436573043e-08,1.734650431748963e-07
P4,delta_SEI_minus,92.0,3.7000813647719943,0.01942956230889223,393.74813497089207,24.11528022227618,341.5175002847831,28.115354463832748,0.497791631874808,0.4123202890726797,0.14476378795219877,5.370070574932872,4.874491964048376,4.427990713037986e-08,1.761674489107515e-07
P4,delta_SEI_minus,93.0,3.687339450040359,0.019577206622070378,404.8014732209606,24.212166012804733,352.3082834271532,28.28102378100266,0.4973913194012792,0.41219162900883255,0.14428616865024874,5.3683949027883155,4.870572010778018,4.445780652724837e-08,1.7892894902540403e-07
P4,delta_SEI_minus,94.0,3.6743766176008,0.019727954831511598,416.2696729375543,24.308794028948668,363.5142130495512,28.44666585905439,0.4969910727465692,0.4120630376998597,0.14380031153965794,5.366720126109098,4.866652702020912,4.463523260488913e-08,1.8175228596425895e-07
P4,delta_SEI_minus,95.0,3.6611871510846865,0.019881958087431286,428.17639618619586,24.405159840074557,375.1589568180951,28.61227952802625,0.49659089473769674,0.41193451480237314,0.14330600325954898,5.365046240422925,4.862734065459885,4.4812177227877854e-08,1.8464044732014325e-07
P4,delta_SEI_minus,96.0,3.6477601890523403,0.020039370665619175,440.5468028396451,24.501256191017237,387.2676842506198,28.777862398008022,0.49619079114948417,0.4118060608010497,0.14280283844409725,5.363373252042239,4.858816157643348,4.498862707445188e-08,1.875965352756274e-07
P4,delta_SEI_minus,97.0,3.6340827146248094,0.02020036817671084,453.40913891479016,24.597069558309094,399.8686635925093,28.94340576397179,0.49579078301619006,0.41167768095128826,0.14229033137025623,5.361701229413499,4.854899184543675,4.5164557313139844e-08,1.9062412774022573e-07
P4,delta_SEI_minus,98.0,3.6201407730911814,0.020365134500429462,466.79358199891556,24.69258895192232,412.99209013959626,29.10890290739698,0.4953908865720069,0.4115493788497683,0.14176796129781624,5.360030219379954,4.850983305129872,4.533994776431266e-08,1.9372695432936904e-07
P4,delta_SEI_minus,99.0,3.6059154248476473,0.02053388064385274,480.7342521164448,24.78780734847457,426.67209822792637,29.274346540043855,0.4949911194277593,0.41142115832072246,0.14123502147030872,5.3583602717485155,4.847068691851247,4.551478553180178e-08,1.9690933505800654e-07
P4,delta_SEI_minus,100.0,3.5913826344754907,0.02070684959827162,495.26993281225765,24.882716671368037,440.9474861309377,29.439730009951898,0.4945914976568084,0.41129302249535465,0.14069061496978125,5.356691427300064,4.843155502101908,4.568905578554936e-08,2.0017628235735777e-07
P4,delta_SEI_minus,101.0,3.5765287421235814,0.020884304316516448,510.4425953694825,24.97730549573113,455.8602481281987,29.605041745552665,0.49419204921993326,0.4111649781429365,0.14013423214835627,5.35502377419778,4.839244009680337,4.5862737547476414e-08,2.0353309894695664e-07
P4,delta_SEI_minus,102.0,3.5613343624351748,0.021066527443017548,526.29818596951,25.071568597455364,471.45634112966604,29.77027624238859,0.49379278741774424,0.4110370271024117,0.13956514961965513,5.353357336392112,4.835334344829219,4.6035821225198514e-08,2.069855008317189e-07
P4,delta_SEI_minus,103.0,3.5457782529020094,0.021253827850480606,542.8874563781268,25.16549653747427,487.78653327073056,29.935426569922022,0.493393728996738,0.4109091720645998,0.13898257471604608,5.35169214892837,4.83142667153416,4.620828948692508e-08,2.105397422606922e-07
P4,delta_SEI_minus,104.0,3.5298346327843197,0.021446549931602162,560.2673415176157,25.259075680639313,504.9077842709833,30.100481565993075,0.4929949009284257,0.4107814187041203,0.13838554547586784,5.350028285712949,4.827521253906501,4.63801172961189e-08,2.1420283625389232e-07
P4,delta_SEI_minus,105.0,3.513474200993161,0.02164508412355616,578.5022909999715,25.352295830386137,522.8845654947369,30.265429674848484,0.49259633113537166,0.41065377266769276,0.13777296858323307,5.348365820288878,4.823618365370514,4.655128593008967e-08,2.1798273388534325e-07
P4,delta_SEI_minus,106.0,3.4966590245132108,0.021849873214684835,597.6657147392657,25.44514534901608,541.7903111123289,30.430258277920615,0.49219805010825524,0.4105262400389465,0.13714342863538867,5.346704831889509,4.819718304498056,4.6721774019970404e-08,2.2188850341358285e-07
P4,delta_SEI_minus,107.0,3.4793463435766414,0.02206138345437978,617.8374299465336,25.5376112194513,561.7048630077802,30.594955719302146,0.4918000860116465,0.4103988256526072,0.1364953301164993,5.34504538348244,4.815821347083178,4.6891557664110645e-08,2.2592967404530419e-07
