metric,measurement_set,horizon_cycle,service_N,rank,value
sigma_min_W,Resistance,87.0,,5,7.629938172422396e-08
condition_W,Resistance,87.0,,5,8723394997.719473
sigma_min_W,Resistance,88.0,,5,7.630091154410117e-08
condition_W,Resistance,88.0,,5,9111533576.739294
sigma_min_W,Resistance,89.0,,5,8.550291966265573e-08
condition_W,Resistance,89.0,,5,8496131735.64792
sigma_min_W,Resistance,90.0,,5,9.563140137753009e-08
condition_W,Resistance,90.0,,5,7940717853.801708
sigma_min_W,Resistance,91.0,,5,1.0989357688264677e-07
condition_W,Resistance,91.0,,5,7226600374.13451
sigma_min_W,Resistance,92.0,,5,1.253296725087025e-07
condition_W,Resistance,92.0,,5,6629729844.511043
sigma_min_W,Resistance,93.0,,5,1.3674251256695038e-07
condition_W,Resistance,93.0,,5,6360585863.4108515
sigma_min_W,Resistance,94.0,,5,1.423364909918802e-07
condition_W,Resistance,94.0,,5,6399601878.975484
sigma_min_W,Resistance,95.0,,5,1.4472574112346432e-07
condition_W,Resistance,95.0,,5,6595107922.472416
sigma_min_W,Resistance,96.0,,5,1.453912694923957e-07
condition_W,Resistance,96.0,,5,6882907865.873558
sigma_min_W,Resistance,97.0,,5,1.4540571131702244e-07
condition_W,Resistance,97.0,,5,7219904278.60752
sigma_min_W,Resistance,98.0,,5,1.4549323667066573e-07
condition_W,Resistance,98.0,,5,7574441420.44377
sigma_min_W,Resistance,99.0,,5,1.4584031078733743e-07
condition_W,Resistance,99.0,,5,7937703824.968518
sigma_min_W,Resistance,100.0,,5,1.4684844953632001e-07
condition_W,Resistance,100.0,,5,8287139899.605128
sigma_min_W,Resistance,101.0,,5,1.4908424325153072e-07
condition_W,Resistance,101.0,,5,8587989909.275906
sigma_min_W,Resistance,102.0,,5,1.5168183117989626e-07
condition_W,Resistance,102.0,,5,8888213848.499794
sigma_min_W,Resistance,103.0,,5,1.5396402025610267e-07
condition_W,Resistance,103.0,,5,9229116892.684248
sigma_min_W,Resistance,104.0,,5,1.5515312752244238e-07
condition_W,Resistance,104.0,,5,9662531728.08825
sigma_min_W,Resistance,105.0,,5,1.5741929104456768e-07
condition_W,Resistance,105.0,,5,10058752408.130547
sigma_min_W,Resistance,106.0,,5,1.59024305134841e-07
condition_W,Resistance,106.0,,5,10529521659.825985
sigma_min_W,Resistance,107.0,,5,1.618411281529653e-07
condition_W,Resistance,107.0,,5,10955145599.33714
sigma_min_W,Resistance,108.0,,5,1.635539494005485e-07
condition_W,Resistance,108.0,,5,11494616941.162798
sigma_min_W,Resistance,109.0,,5,1.635658203142268e-07
condition_W,Resistance,109.0,,5,12206116489.533867
